610468289,1582102200000
610837379,1582102260000
611356868,1582102320000
611760515,1582102380000
612251238,1582102440000
612689892,1582102500000
613269816,1582102560000
613618193,1582102620000
614077287,1582102680000
614511377,1582102740000
615129912,1582102800000
615620063,1582102860000
616122862,1582102920000
616511551,1582102980000
617178832,1582103040000
617633382,1582103100000
618115997,1582103160000
618626994,1582103220000
619118048,1582103280000
619648554,1582103340000
620280605,1582103400000
620950246,1582103460000
621179847,1582103520000
621371364,1582103580000
621501913,1582103640000
621719370,1582103700000
621979830,1582103760000
622372403,1582103820000
622931288,1582103880000
623400917,1582103940000
624038261,1582104000000
624569032,1582104060000
625116694,1582104120000
625699615,1582104180000
626210289,1582104240000
626648520,1582104300000
627264034,1582104360000
627686630,1582104420000
628241282,1582104480000
628780109,1582104540000
629282858,1582104600000
629665775,1582104660000
630169378,1582104720000
630688002,1582104780000
631324875,1582104840000
631864885,1582104900000
632261975,1582104960000
632772682,1582105020000
633439839,1582105080000
634013155,1582105140000
634415223,1582105200000
634996836,1582105260000
635834240,1582105320000
636344295,1582105380000
636818268,1582105440000
637315015,1582105500000
637814601,1582105560000
638277739,1582105620000
638787777,1582105680000
639383649,1582105740000
639983298,1582105800000
640585391,1582105860000
641010801,1582105920000
641558972,1582105980000
641770379,1582106040000
642232846,1582106100000
642698735,1582106160000
643278017,1582106220000
643785792,1582106280000
644275966,1582106340000
644788649,1582106400000
645251626,1582106460000
645812560,1582106520000
646365716,1582106580000
646951057,1582106640000
647447962,1582106700000
647914916,1582106760000
648423000,1582106820000
649066517,1582106880000
649503809,1582106940000
650046657,1582107000000
650712726,1582107060000
651350742,1582107120000
651822354,1582107180000
652320719,1582107240000
652713342,1582107300000
653245586,1582107360000
653890301,1582107420000
654638930,1582107480000
655042595,1582107540000
655558804,1582107600000
656010556,1582107660000
656561074,1582107720000
657195614,1582107780000
657644611,1582107840000
658132612,1582107900000
658621691,1582107960000
659080848,1582108020000
659471771,1582108080000
659961335,1582108140000
660430690,1582108200000
660966931,1582108260000
661469540,1582108320000
661717545,1582108380000
